nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P17;10;0.85;0.3;0.03878355026245117;[173938, 126505, 135451, 247024, 6613, 353523, 156775, 590668, 208644, 121894, 76292, 50807, 47013, 32113];9312065;13539066
P20;10;0.85;0.3;0.03228044509887695;[376415, 424635, 615130, 1014389, 631383, 1527836, 613185, 343758, 76084, 173038, 226220];21633869;34514416
P1;10;0.95;0.1;0.017420530319213867;[0, 2, 1];13;19
P3;10;0.95;0.1;0.018780231475830078;[2, 1, 2, 2];22;34
P4;10;0.95;0.1;0.025969505310058594;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.95;0.1;0.02640557289123535;[1, 1, 1, 1, 1, 1, 1, 1, 6];46;58
P8;10;0.95;0.1;0.0307614803314209;[4, 0, 1, 0, 0, 0, 1, 1, 1];111;118
P9;10;0.95;0.1;0.030332326889038086;[0, 0, 0, 0, 1, 0, 1, 1, 1];113;120
P11;10;0.95;0.1;0.016978740692138672;[0, 2, 1];108;110
P14;10;0.95;0.1;0.06596732139587402;[0, 1, 0, 2, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1];118;136
P17;10;0.95;0.1;0.036774635314941406;[21484, 58850, 196439, 310929, 94393, 422102, 173411, 574215, 252416, 18434, 87737, 41767, 49611, 31061];9217597;13392070
P20;10;0.95;0.1;0.03144645690917969;[1152964, 496895, 634062, 1043128, 627134, 774917, 707825, 431916, 294952, 210859, 194982];25231727;40763231
P1;10;0.95;0.2;0.01729416847229004;[0, 2, 1];13;19
P3;10;0.95;0.2;0.018491268157958984;[0, 1, 3, 2];25;35
P4;10;0.95;0.2;0.024962186813354492;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.95;0.2;0.02637171745300293;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;10;0.95;0.2;0.030869245529174805;[1, 1, 0, 1, 0, 0, 1, 1, 1];111;120
P9;10;0.95;0.2;0.03023052215576172;[2, 0, 0, 1, 0, 0, 1, 1, 1];112;119
P11;10;0.95;0.2;0.017363786697387695;[0, 2, 1];108;110
P14;10;0.95;0.2;0.06673526763916016;[0, 1, 0, 4, 0, 1, 0, 1, 3, 0, 2, 0, 0, 0, 1, 1];118;136
P17;10;0.95;0.2;0.037010908126831055;[457870, 216508, 191781, 149730, 5098, 247060, 155614, 527911, 228511, 67710, 86096, 31674, 52179, 26256];9143853;13707069
P20;10;0.95;0.2;0.03158307075500488;[876634, 699219, 281241, 661991, 307184, 1574545, 806348, 396733, 298064, 212240, 186433];22987031;36877551
P1;10;0.95;0.3;0.01766204833984375;[0, 2, 1];13;19
P3;10;0.95;0.3;0.019072771072387695;[2, 3, 2, 2];30;46
P4;10;0.95;0.3;0.025721073150634766;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.95;0.3;0.026837825775146484;[1, 1, 2, 0, 1, 1, 0, 1, 6];45;56
P8;10;0.95;0.3;0.03101325035095215;[0, 0, 1, 0, 1, 1, 0, 1, 1];112;120
P9;10;0.95;0.3;0.030703306198120117;[0, 1, 0, 1, 0, 0, 1, 1, 1];112;118
P11;10;0.95;0.3;0.017556190490722656;[0, 2, 1];108;110
P14;10;0.95;0.3;0.06612110137939453;[0, 2, 0, 1, 1, 2, 1, 1, 3, 2, 0, 0, 0, 0, 1, 1];115;137
P17;10;0.95;0.3;0.03722071647644043;[414881, 144369, 180424, 105109, 75294, 115827, 168295, 588501, 209175, 133185, 76389, 56980, 55013, 12767];8945322;13627732
P20;10;0.95;0.3;0.0316767692565918;[868305, 419525, 601438, 1125190, 705281, 2032275, 658930, 399119, 202999, 211870, 199629];24921360;40689932
P1;20;0.75;0.1;0.04981517791748047;[0, 2, 1];13;19
P3;20;0.75;0.1;0.05344820022583008;[1, 1, 2, 2];21;31
P4;20;0.75;0.1;0.07579207420349121;[0, 1, 2, 1, 1, 1, 1, 1];38;56
P6;20;0.75;0.1;0.07763481140136719;[1, 1, 1, 2, 1, 0, 2, 1, 5];46;58
P8;20;0.75;0.1;0.08501410484313965;[5, 0, 1, 0, 0, 0, 1, 1, 1];112;120
P9;20;0.75;0.1;0.08611035346984863;[1, 1, 0, 1, 0, 0, 1, 1, 1];113;120
P11;20;0.75;0.1;0.0496058464050293;[0, 2, 1];108;110
P14;20;0.75;0.1;0.1774892807006836;[1, 0, 2, 0, 0, 1, 0, 4, 5, 0, 0, 1, 0, 0, 1, 1];116;138
P17;20;0.75;0.1;0.11025476455688477;[452034, 128899, 92553, 305681, 77770, 328844, 162183, 307881, 246526, 81009, 46308, 61269, 47407, 36701];9209960;13872301
P20;20;0.75;0.1;0.09360814094543457;[1460944, 375628, 554574, 999895, 561219, 1529121, 461902, 411023, 238334, 177243, 227559];23751321;39034544
P1;20;0.75;0.2;0.049451589584350586;[0, 2, 1];13;19
P3;20;0.75;0.2;0.05348634719848633;[2, 1, 2, 2];22;34
P4;20;0.75;0.2;0.07326793670654297;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;20;0.75;0.2;0.07800483703613281;[1, 1, 1, 1, 1, 1, 1, 1, 6];46;58
P8;20;0.75;0.2;0.08912372589111328;[0, 0, 1, 0, 1, 1, 0, 1, 1];112;120
P9;20;0.75;0.2;0.08623647689819336;[0, 0, 3, 0, 0, 0, 1, 1, 1];112;120
P11;20;0.75;0.2;0.05013084411621094;[0, 2, 1];108;110
P14;20;0.75;0.2;0.18346071243286133;[1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 1, 1, 1];117;129
P17;20;0.75;0.2;0.11031818389892578;[160128, 25344, 137112, 231079, 169838, 363101, 159700, 581757, 266021, 131884, 54744, 42535, 45151, 35977];9194739;13846722
P20;20;0.75;0.2;0.09368062019348145;[676354, 519688, 314257, 931710, 670612, 1979795, 583957, 435785, 285930, 173592, 227831];23778367;38652136
P1;20;0.75;0.3;0.05005812644958496;[0, 2, 1];13;19
P3;20;0.75;0.3;0.05371427536010742;[2, 2, 1, 3];24;37
