nome;to;alpha;iteracoes;tempo;estado;valor;tamanho
P9;500;0.7;500;0.14284968376159668;[6, 1, 3, 0, 0, 0, 0, 3, 0];104;120
P11;500;0.7;500;0.09247231483459473;[0, 4, 0];116;120
P14;500;0.7;500;0.2135915756225586;[0, 2, 1, 2, 0, 0, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0];109;138
P17;500;0.7;500;0.24398159980773926;[0, 6, 5, 3, 9, 9, 17, 43, 13, 30, 23, 20, 6, 28];1934;2682
P20;500;0.7;500;0.20721840858459473;[37, 11, 32, 13, 86, 38, 26, 10, 8, 37, 31];1664;2755
P1;100;0.95;350;0.36859130859375;[0, 2, 1];13;19
P3;100;0.95;350;0.4512012004852295;[0, 0, 2, 11];43;58
P4;100;0.95;350;0.5430457592010498;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;100;0.95;350;0.5840356349945068;[0, 1, 0, 1, 0, 0, 0, 1, 39];91;58
P8;100;0.95;350;0.5662198066711426;[0, 0, 0, 0, 3, 0, 1, 0, 1];116;120
P9;100;0.95;350;0.5634036064147949;[2, 2, 0, 0, 0, 0, 2, 2, 0];112;120
P11;100;0.95;350;0.3615868091583252;[0, 4, 0];116;120
P14;100;0.95;350;0.8320939540863037;[0, 0, 2, 4, 0, 6, 1, 3, 5, 0, 1, 0, 0, 0, 0, 1];110;137
P17;100;0.95;350;0.9737298488616943;[25, 73, 37, 30, 27, 10, 7, 67, 42, 24, 53, 34, 123, 47];6356;8013
P20;100;0.95;350;0.8227524757385254;[11, 21, 60, 34, 10, 85, 19, 121, 124, 6, 54];3634;5310
P1;100;0.95;500;0.52482008934021;[0, 2, 1];13;19
P3;100;0.95;500;0.624704122543335;[0, 1, 0, 13];43;58
P4;100;0.95;500;0.7721998691558838;[0, 1, 0, 3, 4, 0, 0, 0];45;58
P6;100;0.95;500;0.8363533020019531;[0, 1, 3, 0, 0, 0, 0, 0, 30];79;57
P8;100;0.95;500;0.818047046661377;[0, 0, 2, 0, 2, 0, 2, 1, 0];113;120
P9;100;0.95;500;0.8114657402038574;[0, 0, 0, 2, 0, 0, 0, 0, 2];114;120
P11;100;0.95;500;0.519526481628418;[0, 4, 0];116;120
P14;100;0.95;500;1.1904480457305908;[0, 0, 2, 1, 0, 2, 0, 3, 1, 2, 1, 0, 0, 1, 2, 0];117;138
P17;100;0.95;500;1.3957788944244385;[0, 4, 59, 12, 101, 73, 38, 74, 179, 5, 55, 70, 26, 50];5103;7432
P20;100;0.95;500;1.1890358924865723;[48, 173, 25, 10, 205, 48, 135, 86, 42, 35, 59];4120;6768
P1;100;0.85;350;0.11785650253295898;[0, 2, 1];13;19
P3;100;0.85;350;0.14066171646118164;[0, 1, 0, 13];43;58
P4;100;0.85;350;0.17193818092346191;[0, 0, 1, 3, 3, 0, 0, 1];44;58
P6;100;0.85;350;0.18798398971557617;[0, 0, 0, 1, 3, 0, 1, 0, 19];68;58
P8;100;0.85;350;0.18307042121887207;[0, 1, 0, 0, 0, 0, 1, 3, 0];113;118
P9;100;0.85;350;0.1853196620941162;[1, 1, 2, 0, 0, 0, 1, 1, 1];112;120
P11;100;0.85;350;0.11631560325622559;[0, 4, 0];116;120
P14;100;0.85;350;0.2652139663696289;[0, 0, 0, 1, 0, 1, 3, 2, 1, 0, 3, 1, 0, 1, 1, 0];111;138
P17;100;0.85;350;0.30695080757141113;[32, 54, 41, 33, 8, 41, 34, 12, 34, 12, 18, 11, 18, 49];3228;4349
P20;100;0.85;350;0.25949621200561523;[37, 23, 47, 37, 79, 36, 12, 44, 16, 35, 94];3038;4592
P1;100;0.85;500;0.16752123832702637;[0, 2, 1];13;19
P3;100;0.85;500;0.20055556297302246;[0, 1, 0, 13];43;58
