,media,dp
zeror,0.6274274047186933,0.00441189245975379
oner,0.9141463572724915,0.039822475517287674
oner-prob,0.8735761818338951,0.04937331563721148
centroid,0.8913641863278887,0.03879383921566746
centroid-oner,0.9034309912712816,0.036006020163806926
gaussian,0.9386796733212339,0.030112887483699426
