,media,dp
zeror,0.3992539559683522,0.016871583549832498
oner,0.6235208118335054,0.07712192798491828
oner-prob,0.5584580323357413,0.12608451087413733
centroid,0.7216073271413829,0.08490131985948657
centroid-oner,0.7327184382524939,0.0842522501710735
gaussian,0.9616959064327485,0.042442001415448946
