,media,dp
zeror,0.10127425688130931,0.001274401867253491
oner,0.23303354606521257,0.021685445382370397
oner-prob,0.17555141491564957,0.02770063642529908
centroid,0.8836101717889818,0.04112678822301056
centroid-oner,0.23363618614405857,0.024133635663880226
gaussian,0.8103537583567821,0.056655402070708565
