,media,dp
zeror,0.33333333333333337,5.551115123125783e-17
oner,0.9533333333333334,0.06699917080747259
oner-prob,0.9,0.061463629715285906
centroid,0.9333333333333333,0.059628479399994376
centroid-oner,0.9600000000000002,0.05333333333333332
gaussian,0.9533333333333334,0.04268749491621898
